,P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABEÃ‡ALHO,EXP_R,CORPO
0,1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,3,,,,,,,,,,,,,
3,,,,,,5,6,,7,,,8,13,,
4,,,15,16,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,19,6,,7,,,8,13,,
7,,,,,,21,6,,7,,,8,13,,
8,,,,,,22,6,,7,,,8,13,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,25,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,31,,32,,,33,13,,30
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,36,16,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,,,38,,,,,,,,,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,42,43,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,31,,32,,,33,13,,46
32,,,,,,,31,,32,,,33,13,,47
33,,,,,,,31,,32,,,33,13,,48
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,50,,,49,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
53,,,,,,,,,,,56,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,58,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
